alpha,gt_bin,initial_center_condition,N_queries,N_initial_proposals,N_final_proposals,median_initial_width_sec,median_initial_width_gt_ratio,median_final_width_sec,median_final_width_gt_ratio,median_final_abs_log_width_gt_ratio,median_final_center_error_sec,Oracle10_IoU>=0.5,Oracle10_IoU>=0.7,R1@0.5,R1@0.7,Center_Hit10<=2s
0.5,0-2s,<= 1s,14,14,14,21.8707145601511,21.8707145601511,6.48803024366498,6.48803024366498,1.8615560531496342,5.91497865319252,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.5714285714285714
0.5,0-2s,<= 2s,18,23,23,32.28380298614502,32.28380298614502,5.650460474193096,5.650460474193096,1.7317370416946019,8.097025156021118,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.4444444444444444
0.5,2-5s,<= 1s,107,141,141,29.706960260868073,12.10312619805336,5.836292201653123,1.9537575244903564,0.6735770189082253,3.134347230195999,0.42990654205607476,0.14953271028037382,0.14018691588785046,0.037383177570093455,0.8691588785046729
0.5,2-5s,<= 2s,163,273,273,28.56337782740593,10.73143856227398,5.397371938452125,1.89822768419981,0.6697544540527774,3.434393882751465,0.37423312883435583,0.15337423312883436,0.12883435582822086,0.04294478527607362,0.7914110429447853
0.5,5-10s,<= 1s,73,107,107,39.872625917196274,5.713283247417873,7.3240505158901215,1.0711164739396837,0.42720309177670074,2.8161553144454956,0.6164383561643836,0.3013698630136986,0.1643835616438356,0.0410958904109589,0.821917808219178
0.5,5-10s,<= 2s,116,209,209,34.490700244903564,5.394837951660156,6.834405273199081,1.0319292843341827,0.4295402964130702,2.9239259362220764,0.5689655172413793,0.3017241379310345,0.15517241379310345,0.04310344827586207,0.7844827586206896
0.5,10-20s,<= 1s,77,106,106,31.190792560577393,2.3321387475977344,7.58357372879982,0.5678033239238864,0.6456579131243734,2.9848521053791046,0.7402597402597403,0.33766233766233766,0.22077922077922077,0.09090909090909091,0.8181818181818182
0.5,10-20s,<= 2s,114,208,208,35.022221222519875,2.824362137168646,7.826077073812485,0.6194366100761626,0.5826364295030615,3.2384587824344635,0.7280701754385965,0.34210526315789475,0.24561403508771928,0.08771929824561403,0.8333333333333334
0.5,20s+,<= 1s,82,93,93,52.80474811792374,1.283572950146415,11.012877970933914,0.26214096178965907,1.3388728978051014,6.195508241653442,0.6097560975609756,0.2073170731707317,0.2804878048780488,0.036585365853658534,0.7073170731707317
0.5,20s+,<= 2s,146,213,213,50.03227758407593,1.1768568238107169,10.610667549073696,0.29023889776157297,1.2370509097418316,5.762115061283112,0.5684931506849316,0.21232876712328766,0.23972602739726026,0.0410958904109589,0.6643835616438356
0.75,0-2s,<= 1s,14,14,14,32.80607508867979,32.80607508867979,8.043358098715544,8.043358098715544,2.0816337273770253,7.448284953832626,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.5714285714285714
0.75,0-2s,<= 2s,18,23,23,48.42571097612381,48.42571097612381,7.399623908102512,7.399623908102512,2.0014291756891898,9.943310499191284,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.4444444444444444
0.75,2-5s,<= 1s,107,141,141,44.56044399738312,18.15468929708004,6.254183359444141,2.1131275792916617,0.7672364628462827,2.450505495071411,0.4205607476635514,0.06542056074766354,0.14953271028037382,0.018691588785046728,0.8130841121495327
0.75,2-5s,<= 2s,163,273,273,42.845066741108894,16.09715784341097,5.818508591502905,2.0057114362716675,0.7137914053052591,3.083463817834854,0.36809815950920244,0.0736196319018405,0.12883435582822086,0.024539877300613498,0.7423312883435583
0.75,5-10s,<= 1s,73,107,107,59.80894064903259,8.56992487112681,7.73650586605072,1.2103279555837314,0.4838389065033821,3.152740955352783,0.5616438356164384,0.2465753424657534,0.1643835616438356,0.0136986301369863,0.821917808219178
0.75,5-10s,<= 2s,116,209,209,51.73605525493622,8.092256927490235,7.222464177757502,1.055547408759594,0.45041442852769814,3.1666107177734375,0.5,0.23275862068965517,0.13793103448275862,0.017241379310344827,0.7844827586206896
0.75,10-20s,<= 1s,77,106,106,46.78618884086609,3.498207584851318,8.637255504727364,0.6412750668823719,0.5887221832554097,2.7518366873264313,0.8181818181818182,0.36363636363636365,0.33766233766233766,0.12987012987012986,0.8961038961038961
0.75,10-20s,<= 2s,114,208,208,52.533334732055664,4.236543071269989,8.696572693064809,0.671469562632196,0.528237522963779,2.7417389899492264,0.7894736842105263,0.35964912280701755,0.34210526315789475,0.14035087719298245,0.8947368421052632
0.75,20s+,<= 1s,82,93,93,79.2071221768856,1.9253594252196224,11.943334132432938,0.323056161403656,1.1299290965591426,5.688078999519348,0.6585365853658537,0.32926829268292684,0.24390243902439024,0.07317073170731707,0.6707317073170732
0.75,20s+,<= 2s,146,213,213,75.04840517044067,1.7652852357160755,11.943334132432938,0.32609670680193675,1.1299290965591426,5.651574373245239,0.636986301369863,0.3219178082191781,0.273972602739726,0.08904109589041095,0.6712328767123288
1.0,0-2s,<= 1s,14,14,14,43.741431310772896,43.741431310772896,8.66860345005989,8.66860345005989,2.159287568307536,9.088036768138409,0.14285714285714285,0.0,0.07142857142857142,0.0,0.5
1.0,0-2s,<= 2s,18,23,23,64.56761246919632,64.56761246919632,7.180805262178183,7.180805262178183,1.9714115302781092,11.41554668545723,0.1111111111111111,0.0,0.05555555555555555,0.0,0.4444444444444444
1.0,2-5s,<= 1s,107,141,141,59.413924127817154,24.20625016093254,6.456142868846655,2.0944538712501526,0.7698083605039083,4.323820471763611,0.35514018691588783,0.102803738317757,0.1588785046728972,0.028037383177570093,0.8504672897196262
1.0,2-5s,<= 2s,163,273,273,57.1267503798008,21.46287514269352,6.05798502266407,2.056187391281128,0.7413022665329065,3.7519265711307526,0.31901840490797545,0.09815950920245399,0.13496932515337423,0.03067484662576687,0.7668711656441718
1.0,5-10s,<= 1s,73,107,107,79.74525183439255,11.426566494835747,8.003078263252974,1.1207420378923416,0.4634515531668487,3.217042326927185,0.6164383561643836,0.2876712328767123,0.3287671232876712,0.0273972602739726,0.8493150684931506
1.0,5-10s,<= 2s,116,209,209,68.98140048980713,10.789675903320312,7.275645025074482,1.102509003664766,0.4634515531668487,3.217042326927185,0.5862068965517241,0.27586206896551724,0.31896551724137934,0.05172413793103448,0.8362068965517241
