alpha,gt_bin,initial_center_condition,stage,N_proposals,median_width_gt_ratio,median_abs_log_width_gt_ratio,across_alpha_variance_median_width_gt_ratio,across_alpha_range_median_width_gt_ratio,across_alpha_variance_median_abs_log_width_gt_ratio,across_alpha_range_median_abs_log_width_gt_ratio
0.5,0-2s,<= 2s,initial,23,32.28380298614502,3.4745656489204295,569.9773618337372,64.5676189661026,0.1612137763886875,1.09861242283045
0.75,0-2s,<= 2s,initial,23,48.42571097612381,3.8800308911909345,569.9773618337372,64.5676189661026,0.1612137763886875,1.09861242283045
1.0,0-2s,<= 2s,initial,23,64.56761246919632,4.167712930102132,569.9773618337372,64.5676189661026,0.1612137763886875,1.09861242283045
1.5,0-2s,<= 2s,initial,23,96.85142195224762,4.573178071750879,569.9773618337372,64.5676189661026,0.1612137763886875,1.09861242283045
0.5,0-2s,<= 2s,decoder_layer1,23,19.06091496348381,2.9476399014539356,64.85436790624732,19.798951596021652,0.08091195742816523,0.7123221086115796
0.75,0-2s,<= 2s,decoder_layer1,23,22.328949719667435,3.105884030248258,64.85436790624732,19.798951596021652,0.08091195742816523,0.7123221086115796
1.0,0-2s,<= 2s,decoder_layer1,23,20.006924994289875,2.996078463337886,64.85436790624732,19.798951596021652,0.08091195742816523,0.7123221086115796
1.5,0-2s,<= 2s,decoder_layer1,23,38.85986655950546,3.6599620100655152,64.85436790624732,19.798951596021652,0.08091195742816523,0.7123221086115796
0.5,0-2s,<= 2s,decoder_layer2,23,9.995944797992706,2.302179490547764,41.19900645850532,16.145677864551544,0.201416892767039,1.1807712326886723
0.75,0-2s,<= 2s,decoder_layer2,23,8.833696134388447,2.178573515298203,41.19900645850532,16.145677864551544,0.201416892767039,1.1807712326886723
1.0,0-2s,<= 2s,decoder_layer2,23,7.153965532779694,1.9676668229302932,41.19900645850532,16.145677864551544,0.201416892767039,1.1807712326886723
1.5,0-2s,<= 2s,decoder_layer2,23,23.299643397331238,3.1484380556189655,41.19900645850532,16.145677864551544,0.201416892767039,1.1807712326886723
0.5,0-2s,<= 2s,final_span,23,5.650460474193096,1.7317370416946019,6.345815564860109,6.698737166821957,0.08116518941207151,0.7818540509299883
0.75,0-2s,<= 2s,final_span,23,7.399623908102512,2.0014291756891898,6.345815564860109,6.698737166821957,0.08116518941207151,0.7818540509299883
