qid,duration_bin,cohort,audio_duration_sec,gt_duration_sec,full_center_hit10_2s,hard25_center_hit10_2s,gt_only_center_hit10_2s,full_oracle10_iou07,hard25_oracle10_iou07,gt_only_oracle10_iou07,full_width_gt_ratio,hard25_width_gt_ratio,gt_only_width_gt_ratio,hard_minus_full_center_pp,hard_minus_full_oracle_pp,hard_minus_full_width_gt_ratio
Pb6MqpdX5Jw_5,2-5s,control,120.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.5,0.5,0.0,0.0,0.5
QHfyKaOHSz4_2,2-5s,harmful,82.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.6666666666666667,14.333333333333334,0.0,0.0,0.3333333333333335
QKHpSAAjakY_1,0-2s,control,94.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0
QKHpSAAjakY_3,2-5s,harmful,94.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.5,-100.0,0.0,-5.0
QOmV7O9mFwg_1,2-5s,control,260.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,3.5,4.5,4.75,0.0,0.0,1.0
QOmV7O9mFwg_2,2-5s,harmful,260.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,4.333333333333333,5.333333333333333,3.6666666666666665,-100.0,0.0,1.0
QOmV7O9mFwg_3,2-5s,control,260.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4.5,5.5,1.5,0.0,0.0,1.0
QRtuOWWya30_1,2-5s,harmful,299.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,38.5,0.0,0.0,-1.0
QvATUKXYFBs_2,2-5s,harmful,119.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.6666666666666667,10.333333333333334,0.0,0.0,0.6666666666666667
QvATUKXYFBs_4,2-5s,control,119.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,6.25,4.25,4.25,0.0,0.0,-2.0
R4fXcbWFhJg_1,2-5s,control,133.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.6666666666666667,4.0,5.666666666666667,0.0,-100.0,2.333333333333333
R4fXcbWFhJg_2,2-5s,harmful,133.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.6666666666666665,-100.0,0.0,2.0
