duration_slice,N,unadjusted_audio_log_slope,unadjusted_audio_log_correlation,adjusted_model_R2,adjusted_log_audio_duration_coefficient,adjusted_center_error_coefficient
GT_1-2s,24,0.8688014131842545,0.5340013837523461,0.5591365289542403,0.8698928138987013,-0.5812206683862113
GT_2-3s,87,0.8705467639011825,0.6292069045125859,0.5120568251227633,0.9902742780531688,0.514582095551731
GT_3-5s,178,0.7093585479652287,0.5325315045837477,0.4730816113356534,0.8061916807589314,0.18914257492292982
