experiment,system,duration_bin,split,metric,value,source_file,classification
R31,D_full_EGCG,0-2s,test,CandidateRecall@10@0.5,0.6777777777777778,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,0-2s,test,CandidateRecall@100@0.5,0.7222222222222222,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,0-2s,test,Oracle@10@0.7,0.4666666666666667,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,0-2s,test,Top1-Oracle@10@0.7,0.25555555555555554,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,2-5s,test,R1@0.5,43.88,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,2-5s,test,R1@0.7,21.01,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,2-5s,test,mAP,24.11,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,2-5s,test,CandidateRecall@10@0.5,0.7632978723404256,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,2-5s,test,CandidateRecall@100@0.5,0.8324468085106383,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,2-5s,test,Oracle@10@0.7,0.5212765957446809,/private/research-artifact,EXACTLY_OBSERVED
R31,D_full_EGCG,2-5s,test,Top1-Oracle@10@0.7,0.31117021276595747,/private/research-artifact,EXACTLY_OBSERVED
