N_queries,N_rows,replicate_count,mean_center_hit10_1s_pct,mean_center_hit10_2s_pct,mean_positive_overlap_candidate_top10_pct,mean_oracle10_iou05_pct,mean_oracle10_iou07_pct,mean_r1_iou05_pct,mean_r1_iou07_pct,median_final_center_error_sec,median_final_width_gt_ratio,mean_effective_accessible_tokens,mean_effective_distractor_count,mean_gt_token_count,mean_valid_token_count,condition,duration_bin
90,90,1,7.777777777777778,24.444444444444443,55.55555555555556,1.1111111111111112,1.1111111111111112,0.0,0.0,38.0,5.0,1.4111111111111112,0.0,1.4111111111111112,201.1888888888889,GT_ONLY,0-2s
90,900,10,36.77777777777778,51.66666666666667,70.11111111111111,4.777777777777778,0.7777777777777778,0.7777777777777778,0.1111111111111111,29.25,8.0,51.7,50.28888888888889,1.4111111111111112,201.1888888888889,RANDOM_25,0-2s
90,900,10,32.77777777777778,49.22222222222222,67.0,6.0,1.0,1.6666666666666667,0.0,32.0,8.0,101.52222222222223,100.11111111111111,1.4111111111111112,201.1888888888889,RANDOM_50,0-2s
90,90,1,27.77777777777778,48.888888888888886,65.55555555555556,6.666666666666667,1.1111111111111112,2.2222222222222223,0.0,34.25,9.0,201.1888888888889,199.77777777777777,1.4111111111111112,201.1888888888889,RANDOM_100,0-2s
90,90,1,22.22222222222222,33.33333333333333,63.33333333333333,2.2222222222222223,1.1111111111111112,0.0,0.0,33.25,10.0,51.7,50.28888888888889,1.4111111111111112,201.1888888888889,HARD_25,0-2s
90,90,1,27.77777777777778,42.22222222222222,66.66666666666666,3.3333333333333335,2.2222222222222223,1.1111111111111112,0.0,26.75,9.0,101.52222222222223,100.11111111111111,1.4111111111111112,201.1888888888889,HARD_50,0-2s
90,90,1,27.77777777777778,48.888888888888886,65.55555555555556,6.666666666666667,1.1111111111111112,2.2222222222222223,0.0,34.25,9.0,201.1888888888889,199.77777777777777,1.4111111111111112,201.1888888888889,HARD_100,0-2s
90,90,1,27.77777777777778,48.888888888888886,65.55555555555556,6.666666666666667,1.1111111111111112,2.2222222222222223,0.0,34.25,9.0,201.1888888888889,199.77777777777777,1.4111111111111112,201.1888888888889,FULL_ACCESS,0-2s
376,376,1,30.319148936170215,42.02127659574468,65.95744680851064,10.372340425531915,1.8617021276595744,1.5957446808510638,0.26595744680851063,21.0,2.125,5.9361702127659575,0.0,5.9361702127659575,193.39361702127658,GT_ONLY,2-5s
376,3760,10,53.27127659574467,70.69148936170212,88.48404255319149,27.340425531914892,7.659574468085106,10.26595744680851,2.632978723404255,7.0,3.0,53.16489361702128,47.22872340425532,5.9361702127659575,193.39361702127658,RANDOM_25,2-5s
376,3760,10,51.46276595744681,67.76595744680851,87.36702127659575,27.26063829787234,8.962765957446809,11.063829787234042,3.2180851063829783,9.0,3.0,99.90159574468085,93.96542553191489,5.9361702127659575,193.39361702127658,RANDOM_50,2-5s
376,376,1,48.138297872340424,64.09574468085107,85.63829787234043,25.79787234042553,8.24468085106383,11.170212765957446,3.723404255319149,11.25,3.0,193.39361702127658,187.45744680851064,5.9361702127659575,193.39361702127658,RANDOM_100,2-5s
376,376,1,42.5531914893617,57.97872340425532,81.91489361702128,21.54255319148936,6.117021276595745,7.9787234042553195,2.925531914893617,18.0,3.5,53.16489361702128,47.22872340425532,5.9361702127659575,193.39361702127658,HARD_25,2-5s
376,376,1,43.08510638297872,60.37234042553191,81.64893617021278,23.404255319148938,6.914893617021277,9.840425531914894,2.6595744680851063,10.75,3.0,99.90159574468085,93.96542553191489,5.9361702127659575,193.39361702127658,HARD_50,2-5s
376,376,1,48.138297872340424,64.09574468085107,85.63829787234043,25.79787234042553,8.24468085106383,11.170212765957446,3.723404255319149,11.25,3.0,193.39361702127658,187.45744680851064,5.9361702127659575,193.39361702127658,HARD_100,2-5s
376,376,1,48.138297872340424,64.09574468085107,85.63829787234043,25.79787234042553,8.24468085106383,11.170212765957446,3.723404255319149,11.25,3.0,193.39361702127658,187.45744680851064,5.9361702127659575,193.39361702127658,FULL_ACCESS,2-5s
273,273,1,36.63003663003663,47.61904761904761,84.24908424908425,20.87912087912088,6.227106227106227,4.029304029304029,1.098901098901099,20.0,1.7777777777777777,13.813186813186814,0.0,13.813186813186814,214.86080586080587,GT_ONLY,5-10s
273,2730,10,56.41025641025641,71.20879120879121,96.19047619047619,53.88278388278388,22.16117216117216,23.589743589743588,9.267399267399268,5.0,1.5714285714285714,64.45787545787546,50.64468864468864,13.813186813186814,214.86080586080587,RANDOM_25,5-10s
273,2730,10,56.00732600732601,71.57509157509158,95.97069597069597,56.08058608058608,23.809523809523807,25.42124542124542,10.54945054945055,5.0,1.5,114.61538461538461,100.8021978021978,13.813186813186814,214.86080586080587,RANDOM_50,5-10s
273,273,1,54.94505494505495,73.62637362637363,96.33699633699634,56.41025641025641,24.90842490842491,26.373626373626376,10.256410256410255,8.0,1.4444444444444444,214.86080586080587,201.04761904761904,13.813186813186814,214.86080586080587,RANDOM_100,5-10s
273,273,1,41.75824175824176,57.509157509157504,91.20879120879121,38.095238095238095,16.117216117216117,13.91941391941392,6.95970695970696,15.5,1.7142857142857142,64.45787545787546,50.64468864468864,13.813186813186814,214.86080586080587,HARD_25,5-10s
273,273,1,51.28205128205128,64.1025641025641,93.04029304029304,49.45054945054945,18.315018315018314,18.315018315018314,7.6923076923076925,10.5,1.5714285714285714,114.61538461538461,100.8021978021978,13.813186813186814,214.86080586080587,HARD_50,5-10s
273,273,1,54.94505494505495,73.62637362637363,96.33699633699634,56.41025641025641,24.90842490842491,26.373626373626376,10.256410256410255,8.0,1.4444444444444444,214.86080586080587,201.04761904761904,13.813186813186814,214.86080586080587,HARD_100,5-10s
