duration_bin,level,random_condition,hard_condition,N_queries,random_center_hit10_2s_pct,hard_center_hit10_2s_pct,hard_minus_random_center_pp,random_oracle10_iou07_pct,hard_oracle10_iou07_pct,hard_minus_random_oracle_pp
0-2s,25,RANDOM_25,HARD_25,90,51.66666666666667,33.33333333333333,-18.33333333333334,0.7777777777777778,1.1111111111111112,0.33333333333333337
0-2s,50,RANDOM_50,HARD_50,90,49.222222222222214,42.22222222222222,-6.999999999999999,1.0000000000000002,2.2222222222222223,1.222222222222222
0-2s,100,RANDOM_100,HARD_100,90,48.888888888888886,48.888888888888886,0.0,1.1111111111111112,1.1111111111111112,0.0
2-5s,25,RANDOM_25,HARD_25,376,70.69148936170212,57.97872340425532,-12.712765957446809,7.659574468085106,6.117021276595745,-1.5425531914893618
2-5s,50,RANDOM_50,HARD_50,376,67.76595744680851,60.37234042553191,-7.3936170212765955,8.962765957446809,6.914893617021277,-2.047872340425532
2-5s,100,RANDOM_100,HARD_100,376,64.09574468085107,64.09574468085107,0.0,8.24468085106383,8.24468085106383,0.0
