duration_bin,recording_duration_group,recording_duration_median_split_sec,condition,N_queries,full_center_hit10_2s_pct,condition_center_hit10_2s_pct,delta_center_pp,full_oracle10_iou07_pct,condition_oracle10_iou07_pct,delta_oracle_pp
0-2s,shorter_or_equal_audio,213.0,GT_ONLY,46,65.21739130434783,28.26086956521739,-36.95652173913044,2.1739130434782608,2.1739130434782608,0.0
0-2s,longer_audio,213.0,GT_ONLY,44,31.818181818181817,20.454545454545457,-11.36363636363636,0.0,0.0,0.0
0-2s,shorter_or_equal_audio,213.0,RANDOM_25,46,65.21739130434783,63.04347826086957,-2.173913043478258,2.1739130434782608,1.5217391304347827,-0.652173913043478
0-2s,longer_audio,213.0,RANDOM_25,44,31.818181818181817,39.77272727272727,7.954545454545457,0.0,0.0,0.0
0-2s,shorter_or_equal_audio,213.0,RANDOM_50,46,65.21739130434783,64.13043478260869,-1.0869565217391397,2.1739130434782608,1.5217391304347827,-0.652173913043478
0-2s,longer_audio,213.0,RANDOM_50,44,31.818181818181817,33.63636363636363,1.8181818181818166,0.0,0.45454545454545453,0.45454545454545453
0-2s,shorter_or_equal_audio,213.0,RANDOM_100,46,65.21739130434783,65.21739130434783,0.0,2.1739130434782608,2.1739130434782608,0.0
0-2s,longer_audio,213.0,RANDOM_100,44,31.818181818181817,31.818181818181817,0.0,0.0,0.0,0.0
0-2s,shorter_or_equal_audio,213.0,HARD_25,46,65.21739130434783,39.130434782608695,-26.086956521739133,2.1739130434782608,2.1739130434782608,0.0
0-2s,longer_audio,213.0,HARD_25,44,31.818181818181817,27.27272727272727,-4.545454545454547,0.0,0.0,0.0
0-2s,shorter_or_equal_audio,213.0,HARD_50,46,65.21739130434783,58.69565217391305,-6.521739130434781,2.1739130434782608,4.3478260869565215,2.1739130434782608
0-2s,longer_audio,213.0,HARD_50,44,31.818181818181817,25.0,-6.818181818181817,0.0,0.0,0.0
0-2s,shorter_or_equal_audio,213.0,HARD_100,46,65.21739130434783,65.21739130434783,0.0,2.1739130434782608,2.1739130434782608,0.0
0-2s,longer_audio,213.0,HARD_100,44,31.818181818181817,31.818181818181817,0.0,0.0,0.0,0.0
0-2s,shorter_or_equal_audio,213.0,FULL_ACCESS,46,65.21739130434783,65.21739130434783,0.0,2.1739130434782608,2.1739130434782608,0.0
0-2s,longer_audio,213.0,FULL_ACCESS,44,31.818181818181817,31.818181818181817,0.0,0.0,0.0,0.0
2-5s,shorter_or_equal_audio,188.5,GT_ONLY,188,79.25531914893617,52.12765957446809,-27.127659574468076,14.893617021276595,3.1914893617021276,-11.702127659574469
2-5s,longer_audio,188.5,GT_ONLY,188,48.93617021276596,31.914893617021278,-17.02127659574468,1.5957446808510638,0.5319148936170213,-1.0638297872340425
2-5s,shorter_or_equal_audio,188.5,RANDOM_25,188,79.25531914893617,83.51063829787235,4.255319148936181,14.893617021276595,13.829787234042554,-1.0638297872340416
2-5s,longer_audio,188.5,RANDOM_25,188,48.93617021276596,57.87234042553191,8.936170212765951,1.5957446808510638,1.4893617021276597,-0.10638297872340408
2-5s,shorter_or_equal_audio,188.5,RANDOM_50,188,79.25531914893617,81.91489361702128,2.659574468085111,14.893617021276595,16.170212765957448,1.2765957446808525
2-5s,longer_audio,188.5,RANDOM_50,188,48.93617021276596,53.61702127659574,4.680851063829785,1.5957446808510638,1.7553191489361704,0.15957446808510656
2-5s,shorter_or_equal_audio,188.5,RANDOM_100,188,79.25531914893617,79.25531914893617,0.0,14.893617021276595,14.893617021276595,0.0
2-5s,longer_audio,188.5,RANDOM_100,188,48.93617021276596,48.93617021276596,0.0,1.5957446808510638,1.5957446808510638,0.0
2-5s,shorter_or_equal_audio,188.5,HARD_25,188,79.25531914893617,71.27659574468085,-7.9787234042553195,14.893617021276595,11.170212765957446,-3.7234042553191493
2-5s,longer_audio,188.5,HARD_25,188,48.93617021276596,44.680851063829785,-4.255319148936174,1.5957446808510638,1.0638297872340425,-0.5319148936170213
2-5s,shorter_or_equal_audio,188.5,HARD_50,188,79.25531914893617,75.53191489361703,-3.7234042553191387,14.893617021276595,12.23404255319149,-2.659574468085106
2-5s,longer_audio,188.5,HARD_50,188,48.93617021276596,45.21276595744681,-3.7234042553191458,1.5957446808510638,1.5957446808510638,0.0
2-5s,shorter_or_equal_audio,188.5,HARD_100,188,79.25531914893617,79.25531914893617,0.0,14.893617021276595,14.893617021276595,0.0
2-5s,longer_audio,188.5,HARD_100,188,48.93617021276596,48.93617021276596,0.0,1.5957446808510638,1.5957446808510638,0.0
2-5s,shorter_or_equal_audio,188.5,FULL_ACCESS,188,79.25531914893617,79.25531914893617,0.0,14.893617021276595,14.893617021276595,0.0
2-5s,longer_audio,188.5,FULL_ACCESS,188,48.93617021276596,48.93617021276596,0.0,1.5957446808510638,1.5957446808510638,0.0
