condition,duration_bin,replicate,random_seed,N_queries,center_hit10_1s_pct,center_hit10_2s_pct,positive_overlap_candidate_top10_pct,oracle10_iou05_pct,oracle10_iou07_pct,r1_iou05_pct,r1_iou07_pct,median_final_center_error_sec,median_final_width_gt_ratio
RANDOM_25,0-2s,0,6488280316,90,34.44444444444444,55.55555555555556,71.11111111111111,4.444444444444445,1.1111111111111112,1.1111111111111112,0.0,32.25,8.0
RANDOM_25,0-2s,1,6488280317,90,36.666666666666664,51.11111111111111,71.11111111111111,4.444444444444445,0.0,2.2222222222222223,0.0,25.0,8.0
RANDOM_25,0-2s,2,6488280318,90,41.11111111111111,50.0,64.44444444444444,3.3333333333333335,0.0,0.0,0.0,34.25,9.0
RANDOM_25,0-2s,3,6488280319,90,34.44444444444444,46.666666666666664,70.0,5.555555555555555,1.1111111111111112,0.0,0.0,25.75,8.0
RANDOM_25,0-2s,4,6488280320,90,38.88888888888889,52.22222222222223,68.88888888888889,2.2222222222222223,1.1111111111111112,0.0,0.0,35.0,8.0
RANDOM_25,0-2s,5,6488280321,90,36.666666666666664,52.22222222222223,71.11111111111111,8.88888888888889,1.1111111111111112,2.2222222222222223,0.0,30.25,9.0
RANDOM_25,0-2s,6,6488280322,90,40.0,55.55555555555556,72.22222222222221,6.666666666666667,2.2222222222222223,0.0,0.0,31.75,8.0
RANDOM_25,0-2s,7,6488280323,90,33.33333333333333,48.888888888888886,66.66666666666666,4.444444444444445,0.0,0.0,0.0,24.75,9.0
RANDOM_25,0-2s,8,6488280324,90,33.33333333333333,52.22222222222223,73.33333333333333,3.3333333333333335,1.1111111111111112,2.2222222222222223,1.1111111111111112,25.75,8.0
RANDOM_25,0-2s,9,6488280325,90,38.88888888888889,52.22222222222223,72.22222222222221,4.444444444444445,0.0,0.0,0.0,31.5,9.0
RANDOM_25,2-5s,0,6488280316,376,52.659574468085104,71.27659574468085,88.82978723404256,28.723404255319153,7.9787234042553195,9.042553191489363,3.723404255319149,8.0,3.0
RANDOM_25,2-5s,1,6488280317,376,53.191489361702125,71.80851063829788,89.62765957446808,26.595744680851062,9.042553191489363,9.042553191489363,2.393617021276596,7.0,3.0
RANDOM_25,2-5s,2,6488280318,376,54.25531914893617,69.68085106382979,88.29787234042553,25.79787234042553,7.712765957446808,10.106382978723403,2.393617021276596,7.0,3.0
RANDOM_25,2-5s,3,6488280319,376,52.92553191489362,71.27659574468085,89.36170212765957,27.659574468085108,6.117021276595745,10.638297872340425,2.127659574468085,7.0,3.0
RANDOM_25,2-5s,4,6488280320,376,50.797872340425535,70.74468085106383,86.96808510638297,28.191489361702125,7.712765957446808,10.904255319148938,2.925531914893617,8.0,3.0
RANDOM_25,2-5s,5,6488280321,376,52.12765957446809,71.27659574468085,88.82978723404256,25.53191489361702,6.382978723404255,11.702127659574469,2.393617021276596,6.0,3.0
RANDOM_25,2-5s,6,6488280322,376,54.25531914893617,67.2872340425532,87.7659574468085,27.127659574468083,7.712765957446808,9.574468085106384,1.8617021276595744,7.5,3.0
