qid,vid,duration_sec,audio_duration_sec,gt_duration_sec,duration_bin,condition,replicate,random_seed,gt_token_count,valid_token_count,effective_accessible_tokens,effective_distractor_count,center_hit10_1s,center_hit10_2s,positive_overlap_candidate_top10,oracle10_iou05,oracle10_iou07,r1_iou05,r1_iou07,top1_iou07_success,final_center_error_sec,final_width_gt_ratio
nmLMLgWPmFM_3,nmLMLgWPmFM,299.0,299.0,16.0,10-20s,RANDOM_25,0,7246282590,16,299,87,71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0625
o7-X8DAToGc_1,o7-X8DAToGc,300.0,300.0,2.0,2-5s,RANDOM_25,0,7246282590,6,300,80,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0
o7-X8DAToGc_2,o7-X8DAToGc,300.0,300.0,2.0,2-5s,RANDOM_25,0,7246282590,4,300,78,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0
o7jW6Suyfbs_1,o7jW6Suyfbs,182.0,182.0,6.0,5-10s,RANDOM_25,0,7246282590,11,182,54,43,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,3.0
o7jW6Suyfbs_2,o7jW6Suyfbs,182.0,182.0,18.0,10-20s,RANDOM_25,0,7246282590,88,182,112,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1111111111111112
oN0IcZaHD_8_1,oN0IcZaHD_8,299.0,299.0,17.0,10-20s,RANDOM_25,0,7246282590,90,299,143,53,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.5,2.1176470588235294
oN0IcZaHD_8_2,oN0IcZaHD_8,299.0,299.0,2.0,2-5s,RANDOM_25,0,7246282590,7,299,80,73,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0
oN0IcZaHD_8_3,oN0IcZaHD_8,299.0,299.0,43.0,20s+,RANDOM_25,0,7246282590,104,299,153,49,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.9534883720930233
oN0IcZaHD_8_4,oN0IcZaHD_8,299.0,299.0,7.0,5-10s,RANDOM_25,0,7246282590,16,299,87,71,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.142857142857143
oNHCc_izsDE_1,oNHCc_izsDE,106.0,106.0,1.0,0-2s,RANDOM_25,0,7246282590,1,106,28,27,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,4.0
oNHCc_izsDE_2,oNHCc_izsDE,106.0,106.0,28.0,20s+,RANDOM_25,0,7246282590,61,106,73,12,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.5,0.21428571428571427
oklu5ZJD_2U_1,oklu5ZJD_2U,124.0,124.0,16.0,10-20s,RANDOM_25,0,7246282590,34,124,57,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,1.125
onBZOH88OYs_1,onBZOH88OYs,227.0,227.0,25.0,20s+,RANDOM_25,0,7246282590,48,227,93,45,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.04
onBZOH88OYs_2,onBZOH88OYs,227.0,227.0,6.0,5-10s,RANDOM_25,0,7246282590,6,227,62,56,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,45.5,5.166666666666667
os_2U4xqTqw_1,os_2U4xqTqw,223.0,223.0,3.0,2-5s,RANDOM_25,0,7246282590,10,223,64,54,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.666666666666667
os_2U4xqTqw_2,os_2U4xqTqw,223.0,223.0,3.0,2-5s,RANDOM_25,0,7246282590,13,223,66,53,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,8.0
os_2U4xqTqw_3,os_2U4xqTqw,223.0,223.0,1.0,0-2s,RANDOM_25,0,7246282590,2,223,58,56,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0
os_2U4xqTqw_4,os_2U4xqTqw,223.0,223.0,4.0,2-5s,RANDOM_25,0,7246282590,4,223,59,55,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.5,2.75
os_2U4xqTqw_5,os_2U4xqTqw,223.0,223.0,85.0,20s+,RANDOM_25,0,7246282590,85,223,120,35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,0.788235294117647
p9qRTh4BmSE_1,p9qRTh4BmSE,128.0,128.0,2.0,2-5s,RANDOM_25,0,7246282590,2,128,34,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0
p9qRTh4BmSE_2,p9qRTh4BmSE,128.0,128.0,2.0,2-5s,RANDOM_25,0,7246282590,4,128,35,31,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,9.5
pCQEWAFGEjc_1,pCQEWAFGEjc,299.0,299.0,3.0,2-5s,RANDOM_25,0,7246282590,9,299,82,73,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3333333333333335
pCQEWAFGEjc_2,pCQEWAFGEjc,299.0,299.0,4.0,2-5s,RANDOM_25,0,7246282590,4,299,78,74,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,147.5,2.25
pCQEWAFGEjc_3,pCQEWAFGEjc,299.0,299.0,24.0,20s+,RANDOM_25,0,7246282590,50,299,113,63,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.5,0.5
pHNMcX-9FDs_1,pHNMcX-9FDs,300.0,300.0,14.0,10-20s,RANDOM_25,0,7246282590,30,300,98,68,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.4285714285714286
pHNMcX-9FDs_2,pHNMcX-9FDs,300.0,300.0,196.0,20s+,RANDOM_25,0,7246282590,221,300,241,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,49.5,0.576530612244898
pHYkWkZ4guE_1,pHYkWkZ4guE,300.0,300.0,39.0,20s+,RANDOM_25,0,7246282590,39,300,105,66,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.5,0.6666666666666666
pHYkWkZ4guE_2,pHYkWkZ4guE,300.0,300.0,123.0,20s+,RANDOM_25,0,7246282590,123,300,168,45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.5,0.3252032520325203
pHYkWkZ4guE_3,pHYkWkZ4guE,300.0,300.0,2.0,2-5s,RANDOM_25,0,7246282590,5,300,79,74,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
pHYkWkZ4guE_4,pHYkWkZ4guE,300.0,300.0,16.0,10-20s,RANDOM_25,0,7246282590,27,300,96,69,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.5,1.0625
pHYkWkZ4guE_5,pHYkWkZ4guE,300.0,300.0,23.0,20s+,RANDOM_25,0,7246282590,23,300,93,70,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.5,1.9130434782608696
pI_kPedctoo_1,pI_kPedctoo,76.0,76.0,1.0,0-2s,RANDOM_25,0,7246282590,1,76,20,19,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,69.5,4.0
pO8kbg9IJnc_1,pO8kbg9IJnc,131.0,131.0,5.0,5-10s,RANDOM_25,0,7246282590,12,131,42,30,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23.5,1.2
pO8kbg9IJnc_2,pO8kbg9IJnc,131.0,131.0,4.0,2-5s,RANDOM_25,0,7246282590,5,131,37,32,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.5
pO8kbg9IJnc_3,pO8kbg9IJnc,131.0,131.0,2.0,2-5s,RANDOM_25,0,7246282590,4,131,36,32,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
paetCbEqp2w_1,paetCbEqp2w,84.0,84.0,5.0,5-10s,RANDOM_25,0,7246282590,9,84,28,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4
paetCbEqp2w_2,paetCbEqp2w,84.0,84.0,7.0,5-10s,RANDOM_25,0,7246282590,16,84,33,17,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.5,1.7142857142857142
paetCbEqp2w_3,paetCbEqp2w,84.0,84.0,10.0,10-20s,RANDOM_25,0,7246282590,12,84,30,18,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,37.5,0.7
paf0nyjg1Js_1,paf0nyjg1Js,299.0,299.0,4.0,2-5s,RANDOM_25,0,7246282590,4,299,78,74,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,4.75
paf0nyjg1Js_2,paf0nyjg1Js,299.0,299.0,3.0,2-5s,RANDOM_25,0,7246282590,5,299,79,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,6.333333333333333
paf0nyjg1Js_3,paf0nyjg1Js,299.0,299.0,12.0,10-20s,RANDOM_25,0,7246282590,12,299,84,72,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.8333333333333333
