qid,vid,duration_bin,gt_duration_sec,audio_duration_sec,hard_center_hit10_2s,random25_center_hit10_2s_mean,hard_minus_random_center,cohort,p3_location_failure,condition,active_layer,removed_token_count,full_center_hit10_2s,intervention_center_hit10_2s,intervention_minus_full_center_pp,intervention_oracle10_iou07,intervention_width_gt_ratio
Hdxfbpnd2-8_4,Hdxfbpnd2-8,0-2s,1.0,299.0,0.0,0.3,-0.3,harmful,0,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,2,1.0,1.0,0.0,0.0,12.0
HxZADVzNIqs_2,HxZADVzNIqs,2-5s,4.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,53,1.0,0.0,-100.0,0.0,31.0
HxZADVzNIqs_2,HxZADVzNIqs,2-5s,4.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,53,1.0,1.0,0.0,0.0,30.5
HxZADVzNIqs_2,HxZADVzNIqs,2-5s,4.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,53,1.0,0.0,-100.0,0.0,15.5
HxZADVzNIqs_2,HxZADVzNIqs,2-5s,4.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,53,1.0,0.0,-100.0,0.0,15.5
HxZADVzNIqs_3,HxZADVzNIqs,2-5s,3.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,24,0.0,0.0,0.0,0.0,9.666666666666666
HxZADVzNIqs_3,HxZADVzNIqs,2-5s,3.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,24,0.0,0.0,0.0,0.0,10.333333333333334
HxZADVzNIqs_3,HxZADVzNIqs,2-5s,3.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,24,0.0,0.0,0.0,0.0,8.333333333333334
HxZADVzNIqs_3,HxZADVzNIqs,2-5s,3.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,24,0.0,0.0,0.0,0.0,8.333333333333334
I4HpYGMMsz4_1,I4HpYGMMsz4,2-5s,4.0,238.0,0.0,0.1,-0.1,harmful,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,35,0.0,0.0,0.0,0.0,21.75
