qid,vid,duration_bin,gt_duration_sec,audio_duration_sec,hard_center_hit10_2s,random25_center_hit10_2s_mean,hard_minus_random_center,cohort,p3_location_failure,condition,active_layer,removed_token_count,full_center_hit10_2s,intervention_center_hit10_2s,intervention_minus_full_center_pp,intervention_oracle10_iou07,intervention_width_gt_ratio
EcihYbSlyck_3,EcihYbSlyck,2-5s,2.0,157.0,0.0,0.3,-0.3,harmful,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,6,0.0,0.0,0.0,0.0,5.0
EcihYbSlyck_3,EcihYbSlyck,2-5s,2.0,157.0,0.0,0.3,-0.3,harmful,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,6,0.0,0.0,0.0,0.0,5.0
EcihYbSlyck_3,EcihYbSlyck,2-5s,2.0,157.0,0.0,0.3,-0.3,harmful,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,6,0.0,0.0,0.0,0.0,5.5
EcihYbSlyck_3,EcihYbSlyck,2-5s,2.0,157.0,0.0,0.3,-0.3,harmful,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,6,0.0,0.0,0.0,0.0,5.5
ErxgH5g3Kx0_1,ErxgH5g3Kx0,0-2s,1.0,210.0,0.0,0.0,0.0,control,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,1,0.0,0.0,0.0,0.0,7.0
ErxgH5g3Kx0_1,ErxgH5g3Kx0,0-2s,1.0,210.0,0.0,0.0,0.0,control,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,1,0.0,0.0,0.0,0.0,6.0
ErxgH5g3Kx0_1,ErxgH5g3Kx0,0-2s,1.0,210.0,0.0,0.0,0.0,control,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,1,0.0,0.0,0.0,0.0,7.0
ErxgH5g3Kx0_1,ErxgH5g3Kx0,0-2s,1.0,210.0,0.0,0.0,0.0,control,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,1,0.0,0.0,0.0,0.0,7.0
ErxgH5g3Kx0_2,ErxgH5g3Kx0,2-5s,2.0,210.0,0.0,1.0,-1.0,harmful,0,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,30,1.0,1.0,0.0,0.0,3.0
ErxgH5g3Kx0_2,ErxgH5g3Kx0,2-5s,2.0,210.0,0.0,1.0,-1.0,harmful,0,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,30,1.0,1.0,0.0,0.0,3.0
ErxgH5g3Kx0_2,ErxgH5g3Kx0,2-5s,2.0,210.0,0.0,1.0,-1.0,harmful,0,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,30,1.0,1.0,0.0,0.0,3.0
ErxgH5g3Kx0_2,ErxgH5g3Kx0,2-5s,2.0,210.0,0.0,1.0,-1.0,harmful,0,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,30,1.0,1.0,0.0,0.0,3.0
EzWEO2WD_MM_1,EzWEO2WD_MM,2-5s,3.0,188.0,1.0,1.0,0.0,control,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,7,0.0,0.0,0.0,0.0,1.3333333333333333
EzWEO2WD_MM_1,EzWEO2WD_MM,2-5s,3.0,188.0,1.0,1.0,0.0,control,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,7,0.0,0.0,0.0,0.0,1.6666666666666667
EzWEO2WD_MM_1,EzWEO2WD_MM,2-5s,3.0,188.0,1.0,1.0,0.0,control,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,7,0.0,0.0,0.0,0.0,1.6666666666666667
EzWEO2WD_MM_1,EzWEO2WD_MM,2-5s,3.0,188.0,1.0,1.0,0.0,control,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,7,0.0,0.0,0.0,0.0,1.6666666666666667
EzWEO2WD_MM_2,EzWEO2WD_MM,2-5s,3.0,188.0,1.0,0.4,0.6,control,0,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,26,1.0,1.0,0.0,0.0,28.666666666666668
EzWEO2WD_MM_2,EzWEO2WD_MM,2-5s,3.0,188.0,1.0,0.4,0.6,control,0,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,26,1.0,1.0,0.0,0.0,28.666666666666668
EzWEO2WD_MM_2,EzWEO2WD_MM,2-5s,3.0,188.0,1.0,0.4,0.6,control,0,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,26,1.0,1.0,0.0,0.0,28.666666666666668
EzWEO2WD_MM_2,EzWEO2WD_MM,2-5s,3.0,188.0,1.0,0.4,0.6,control,0,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,26,1.0,1.0,0.0,0.0,28.666666666666668
FDwK7T1JO_0_2,FDwK7T1JO_0,2-5s,3.0,202.0,1.0,0.9,0.09999999999999998,control,0,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,5,1.0,1.0,0.0,0.0,2.0
FDwK7T1JO_0_2,FDwK7T1JO_0,2-5s,3.0,202.0,1.0,0.9,0.09999999999999998,control,0,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,5,1.0,1.0,0.0,0.0,2.0
FDwK7T1JO_0_2,FDwK7T1JO_0,2-5s,3.0,202.0,1.0,0.9,0.09999999999999998,control,0,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,5,1.0,1.0,0.0,0.0,2.0
FDwK7T1JO_0_2,FDwK7T1JO_0,2-5s,3.0,202.0,1.0,0.9,0.09999999999999998,control,0,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,5,1.0,1.0,0.0,0.0,2.0
FR7BDRhMATo_2,FR7BDRhMATo,2-5s,4.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,65,0.0,0.0,0.0,0.0,6.0
FR7BDRhMATo_2,FR7BDRhMATo,2-5s,4.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,65,0.0,0.0,0.0,0.0,4.75
FR7BDRhMATo_2,FR7BDRhMATo,2-5s,4.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,65,0.0,0.0,0.0,0.0,9.75
FR7BDRhMATo_2,FR7BDRhMATo,2-5s,4.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,65,0.0,0.0,0.0,0.0,9.75
FXdoNvmrYxo_2,FXdoNvmrYxo,2-5s,4.0,299.0,0.0,0.9,-0.9,harmful,0,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,7,1.0,1.0,0.0,0.0,3.25
FXdoNvmrYxo_2,FXdoNvmrYxo,2-5s,4.0,299.0,0.0,0.9,-0.9,harmful,0,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,7,1.0,1.0,0.0,0.0,2.25
FXdoNvmrYxo_2,FXdoNvmrYxo,2-5s,4.0,299.0,0.0,0.9,-0.9,harmful,0,REMOVE_HARD_LAYER2_ONLY,LAYER2_ONLY,7,1.0,1.0,0.0,0.0,3.25
FXdoNvmrYxo_2,FXdoNvmrYxo,2-5s,4.0,299.0,0.0,0.9,-0.9,harmful,0,REMOVE_HARD_FINAL_LAYER_ONLY,FINAL_LAYER_ONLY,7,1.0,1.0,0.0,0.0,3.25
Flk-X0gwjF4_1,Flk-X0gwjF4,2-5s,4.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_ALL_LAYERS,ALL_LAYERS,16,0.0,0.0,0.0,0.0,4.25
Flk-X0gwjF4_1,Flk-X0gwjF4,2-5s,4.0,299.0,0.0,0.0,0.0,control,1,REMOVE_HARD_LAYER1_ONLY,LAYER1_ONLY,16,0.0,0.0,0.0,0.0,6.25
