duration_bin,cohort,N,mean_full_pct,mean_remove_hard_pct,mean_remove_random_pct,mean_hard_minus_random_pp,median_hard_minus_random_pp,positive_rate,mean_random_stratum_fallback_rate
0-2s,harmful,44,43.18181818181818,52.27272727272727,44.77272727272728,7.5,0.0,0.1590909090909091,0.022727272727272728
0-2s,control,46,47.82608695652174,41.30434782608695,46.52173913043478,-5.217391304347826,0.0,0.043478260869565216,0.06521739130434782
2-5s,harmful,127,47.24409448818898,56.69291338582677,47.795275590551185,8.89763779527559,0.0,0.16535433070866143,0.05511811023622047
2-5s,control,249,71.8875502008032,71.08433734939759,71.44578313253011,-0.3614457831325301,0.0,0.05220883534136546,0.04417670682730924
