variant,gt_bin,audio_duration_sec,N_proposals,median_final_abs_log_width_gt_ratio,median_final_width_gt_ratio,median_final_width_sec,N_audio_duration_strata,audio_duration_slope_abs_log_ratio_per_sec,audio_duration_slope_abs_log_ratio_per_100sec
r1,2-5s,128.0,1,1.7106825897243854,5.532736778259277,11.065473556518555,,,
r1,2-5s,129.0,1,0.0054907777719531495,1.005505879720052,3.0165176391601562,,,
r1,2-5s,131.0,1,0.42376985658658556,1.5277099609375,6.11083984375,,,
r1,2-5s,133.0,2,0.23321770288219912,1.262656847635905,3.787970542907715,,,
r1,2-5s,137.0,1,1.2110165726744433,3.3568954467773438,6.7137908935546875,,,
r1,2-5s,148.0,4,0.618482800851182,1.8576863606770835,5.57305908203125,,,
r1,2-5s,150.0,1,0.0030775349182960514,1.003082275390625,4.0123291015625,,,
r1,2-5s,160.0,2,1.3307327647763207,3.798370361328125,7.59674072265625,,,
r1,2-5s,163.0,2,0.6939167931315477,2.0017191569010415,6.005157470703125,,,
r1,2-5s,164.0,1,1.1477201726965431,3.1510009765625,9.4530029296875,,,
r1,2-5s,179.0,2,0.25807104266790104,1.3169746398925781,5.2678985595703125,,,
r1,2-5s,189.0,1,1.467116137235976,4.336710611979167,13.0101318359375,,,
r1,2-5s,194.0,2,0.7105730137070709,2.0395050048828125,4.079010009765625,,,
r1,2-5s,198.0,1,1.6680988657870397,5.3020782470703125,15.906234741210938,,,
r1,2-5s,202.0,1,0.9589255353878382,2.608891805013021,7.8266754150390625,,,
r1,2-5s,205.0,2,1.4368042654432973,4.280464172363281,8.560928344726562,,,
r1,2-5s,209.0,1,1.3204366108070418,3.74505615234375,7.4901123046875,,,
r1,2-5s,220.0,1,0.6932768718566967,2.0002593994140625,8.00103759765625,,,
r1,2-5s,223.0,2,1.4151676997495402,4.119704564412435,12.359113693237305,,,
r1,2-5s,280.0,2,2.2943139908653745,9.933007558186848,24.556270599365234,,,
r1,2-5s,285.0,1,1.9081399737649176,6.74053955078125,13.4810791015625,,,
r1,2-5s,299.0,14,1.1479433211631687,3.151771068572998,11.054161071777344,,,
r1,2-5s,300.0,11,1.4529706407885747,4.275797526041667,12.827392578125,,,
r1,5-10s,60.0,3,0.792510362497009,0.4527069091796875,2.2635345458984375,,,
r1,5-10s,64.0,2,0.6296281553193062,0.558843994140625,2.794219970703125,,,
r1,5-10s,66.0,4,0.28080483353215946,0.7551795959472656,3.775897979736328,,,
r1,5-10s,68.0,1,1.3988148691431688,0.24688938685825892,1.7282257080078125,,,
r1,5-10s,71.0,1,0.5160257896757908,1.675356183733259,11.727493286132812,,,
r1,5-10s,72.0,1,0.34431246547260735,1.4110194614955358,9.87713623046875,,,
r1,5-10s,74.0,3,0.41214708133691613,0.6622268676757812,3.3111343383789062,,,
r1,5-10s,77.0,1,0.5719896598062535,0.564401354108538,3.9508094787597656,,,
r1,5-10s,80.0,1,0.3610835384304815,0.6969207763671875,3.4846038818359375,,,
r1,5-10s,82.0,1,0.062469770504179886,1.0644622802734376,5.3223114013671875,,,
r1,5-10s,85.0,5,1.1844452719906204,0.30591583251953125,2.426544189453125,,,
r1,5-10s,87.0,1,0.735148885307788,0.479434072971344,3.835472583770752,,,
r1,5-10s,88.0,2,0.4193594586874777,0.6613250732421876,3.3066253662109375,,,
r1,5-10s,90.0,3,0.3183987374118035,0.7273127237955729,4.3638763427734375,,,
r1,5-10s,95.0,1,1.053340143026041,0.3487708568572998,2.7901668548583984,,,
r1,5-10s,96.0,6,0.6673443519763931,0.5197589450412327,3.4720687866210938,,,
r1,5-10s,97.0,1,0.9533380330699439,2.594355265299479,23.349197387695312,,,
r1,5-10s,102.0,1,0.03739163742091408,0.9632987976074219,6.743091583251953,,,
r1,5-10s,105.0,1,0.23776393394900117,1.2684097290039062,8.878868103027344,,,
r1,5-10s,106.0,2,0.16804980865235924,1.1166409850120544,8.933127880096436,,,
r1,5-10s,109.0,2,0.5219758934857734,0.5933570861816406,3.5601425170898438,,,
r1,5-10s,110.0,1,0.2613790321947997,0.769989013671875,3.849945068359375,,,
r1,5-10s,116.0,2,0.5050182782881144,1.8264340718587238,14.321475982666016,,,
r1,5-10s,119.0,4,0.23633351942375305,1.1725867135184151,8.208106994628906,,,
r1,5-10s,120.0,2,0.2184441838727892,0.9835453033447266,7.059345245361328,,,
r1,5-10s,121.0,1,0.03144614705740015,1.03194580078125,5.15972900390625,,,
r1,5-10s,122.0,2,0.08103361836282738,1.051018026140001,9.45916223526001,,,
r1,5-10s,123.0,4,0.3740343311093238,1.4708296457926433,8.82497787475586,,,
r1,5-10s,142.0,1,1.2502469012753785,3.491204833984375,17.456024169921875,,,
r1,5-10s,144.0,1,0.05934565631067831,1.0611419677734375,5.3057098388671875,,,
r1,5-10s,150.0,3,0.4383679942757175,1.5501752580915178,10.851226806640625,,,
r1,5-10s,156.0,1,0.29677962491568977,1.3455187479654949,8.073112487792969,,,
r1,5-10s,157.0,2,0.5997900787903722,1.8245101928710938,9.122550964355469,,,
r1,5-10s,160.0,2,0.1571333255869554,1.1807454427083335,10.626708984375,,,
r1,5-10s,170.0,2,0.061976467788431244,0.9399139404296875,4.6995697021484375,,,
r1,5-10s,172.0,3,1.5960540693064402,4.933526611328125,24.667633056640625,,,
r1,5-10s,183.0,3,0.17135157174860946,0.91304931640625,4.56524658203125,,,
r1,5-10s,198.0,1,0.9072669857688771,2.4775421142578127,12.387710571289062,,,
r1,5-10s,208.0,1,0.13293659983407713,1.1421775817871094,9.137420654296875,,,
r1,5-10s,214.0,2,0.18283907737135363,1.0203971862792969,8.163177490234375,,,
r1,5-10s,220.0,6,0.29943311220912683,1.061498006184896,6.368988037109375,,,
r1,5-10s,224.0,1,0.7251166301114264,2.064971923828125,18.584747314453125,,,
r1,5-10s,225.0,1,0.5261927065527049,1.6924762725830078,8.462381362915039,,,
r1,5-10s,230.0,2,0.7316373959047626,2.0811614990234375,12.486968994140625,,,
r1,5-10s,233.0,1,0.21489780408143966,1.2397351946149553,8.678146362304688,,,
r1,5-10s,237.0,1,0.5021061771058523,1.6521974291120256,11.56538200378418,,,
r1,5-10s,239.0,2,0.3220571901144793,0.7702433268229167,4.6214599609375,,,
r1,5-10s,240.0,1,1.8247989799834423,6.201548258463542,37.20928955078125,,,
r1,5-10s,242.0,1,0.7199477487276947,2.0543258666992186,10.271629333496094,,,
r1,5-10s,248.0,1,0.9126525298391468,2.4909210205078125,12.454605102539062,,,
r1,5-10s,249.0,1,0.27032391572099446,1.3103888375418526,9.172721862792969,,,
r1,5-10s,260.0,1,0.10389306985680304,1.1094818115234375,8.8758544921875,,,
