row_type,gt_duration_bin_broad,matching_cell,short_qid,long_qid,short_vid,long_vid,short_audio_duration_sec,long_audio_duration_sec,short_gt_duration_sec,long_gt_duration_sec,short_gt_count,long_gt_count,short_query_word_count,long_query_word_count,short_r1_iou05,long_r1_iou05,long_minus_short_r1_iou05,short_r1_iou07,long_r1_iou07,long_minus_short_r1_iou07,short_oracle10_iou07,long_oracle10_iou07,long_minus_short_oracle10_iou07,short_qd_top1_center_hit_le_2s,long_qd_top1_center_hit_le_2s,long_minus_short_qd_top1_center_hit_le_2s,short_final_width_gt_ratio,long_final_width_gt_ratio,long_minus_short_final_width_gt_ratio,short_center_error_sec,long_center_error_sec,long_minus_short_center_error_sec,short_normalized_gt_width,long_normalized_gt_width,long_minus_short_normalized_gt_width
matched_pair,0-2s,1-2s|1|0-5w,-nQHwrRLfc0_2,3RultJjvTWI_2,-nQHwrRLfc0,3RultJjvTWI,165.0,299.0,1.0,1.0,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,8.0,16.5,8.5,0.006060606060606061,0.0033444816053511705,-0.00271612445525489
matched_pair,0-2s,1-2s|1|0-5w,6Nvu6EcpdE8_2,Hdxfbpnd2-8_4,6Nvu6EcpdE8,Hdxfbpnd2-8,211.0,299.0,1.0,1.0,1,1,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,4.0,12.0,8.0,1.5,58.5,57.0,0.004739336492890996,0.0033444816053511705,-0.0013948548875398251
matched_pair,0-2s,1-2s|1|0-5w,Aj_VMUSNjNM_2,OUUckswAaNI_4,Aj_VMUSNjNM,OUUckswAaNI,150.0,260.0,1.0,1.0,1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,5.0,6.0,1.0,0.0,25.5,25.5,0.006666666666666667,0.0038461538461538464,-0.0028205128205128207
matched_pair,0-2s,1-2s|1|0-5w,ItS07xtdi4s_5,KnsKf9KoNds_1,ItS07xtdi4s,KnsKf9KoNds,160.0,299.0,1.0,1.0,1,1,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,5.0,38.5,26.0,-12.5,0.00625,0.0033444816053511705,-0.00290551839464883
matched_pair,0-2s,1-2s|1|0-5w,OpiWMltpj44_3,3VHpLxtd498_3,OpiWMltpj44,3VHpLxtd498,77.0,242.0,1.0,1.0,1,1,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,5.0,46.0,45.5,-0.5,0.012987012987012988,0.004132231404958678,-0.00885478158205431
matched_pair,0-2s,1-2s|1|0-5w,QKHpSAAjakY_1,BUAPM4D3-h8_2,QKHpSAAjakY,BUAPM4D3-h8,94.0,299.0,1.0,1.0,1,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,10.0,35.0,116.0,81.0,0.010638297872340425,0.0033444816053511705,-0.007293816266989255
matched_pair,0-2s,1-2s|1|0-5w,ilspW7JRjAg_1,inSvboaSRwA_2,ilspW7JRjAg,inSvboaSRwA,208.0,299.0,1.0,1.0,1,1,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,9.0,-29.0,32.5,216.0,183.5,0.004807692307692308,0.0033444816053511705,-0.0014632107023411375
matched_pair,0-2s,1-2s|1|0-5w,pI_kPedctoo_1,_YS5uKWoB6g_2,pI_kPedctoo,_YS5uKWoB6g,76.0,237.0,1.0,1.0,1,1,2,2,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,17.0,15.0,0.5,3.0,2.5,0.013157894736842105,0.004219409282700422,-0.008938485454141682
matched_pair,0-2s,1-2s|1|0-5w,vruDH_YLaPI_3,taYKM1OSTwE_2,vruDH_YLaPI,taYKM1OSTwE,125.0,220.0,1.0,1.0,1,1,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,5.0,5.0,0.0,2.0,149.0,147.0,0.008,0.004545454545454545,-0.003454545454545455
matched_pair,0-2s,1-2s|1|0-5w,z1ax0QPpd14_3,yrxa6_P2I80_2,z1ax0QPpd14,yrxa6_P2I80,183.0,240.0,1.0,1.0,1,1,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,-2.0,93.0,87.0,-6.0,0.00546448087431694,0.004166666666666667,-0.0012978142076502733
