gt_duration_band,outcome,model,N,r2,standardized_betas,median_audio_duration_sec,median_normalized_gt_width,median_initial_width_gt_ratio
1-2s,r1_iou07,AUDIO_DURATION_ONLY,90,,"{""audio_duration_sec"": null}",213.0,0.004694835680751174,108.9795742242745
1-2s,r1_iou07,GT_ABSOLUTE_DURATION_ONLY,90,,"{""gt_duration_sec"": null}",213.0,0.004694835680751174,108.9795742242745
1-2s,r1_iou07,NORMALIZED_GT_WIDTH_ONLY,90,,"{""normalized_gt_width"": null}",213.0,0.004694835680751174,108.9795742242745
1-2s,r1_iou07,INITIAL_WIDTH_GT_ONLY,90,,"{""initial_width_gt_ratio_median"": null}",213.0,0.004694835680751174,108.9795742242745
1-2s,r1_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,90,,"{""audio_duration_sec"": null, ""initial_width_gt_ratio_median"": null}",213.0,0.004694835680751174,108.9795742242745
1-2s,r1_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,90,,"{""audio_duration_sec"": null, ""normalized_gt_width"": null}",213.0,0.004694835680751174,108.9795742242745
1-2s,oracle10_iou07,AUDIO_DURATION_ONLY,90,0.02620022056393234,"{""audio_duration_sec"": -0.1618648218852154}",213.0,0.004694835680751174,108.9795742242745
1-2s,oracle10_iou07,GT_ABSOLUTE_DURATION_ONLY,90,,"{""gt_duration_sec"": null}",213.0,0.004694835680751174,108.9795742242745
1-2s,oracle10_iou07,NORMALIZED_GT_WIDTH_ONLY,90,0.04568722531557201,"{""normalized_gt_width"": 0.21374570244936394}",213.0,0.004694835680751174,108.9795742242745
1-2s,oracle10_iou07,INITIAL_WIDTH_GT_ONLY,90,0.02620022056393234,"{""initial_width_gt_ratio_median"": -0.1618648218852154}",213.0,0.004694835680751174,108.9795742242745
1-2s,oracle10_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,90,0.02620022056393234,"{""audio_duration_sec"": -0.0809324109426077, ""initial_width_gt_ratio_median"": -0.08093241094260774}",213.0,0.004694835680751174,108.9795742242745
1-2s,oracle10_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,90,0.05374657041473685,"{""audio_duration_sec"": 0.2303742155370958, ""normalized_gt_width"": 0.4259082205461469}",213.0,0.004694835680751174,108.9795742242745
2-3s,final_width_gt_ratio,AUDIO_DURATION_ONLY,159,0.048230163580105345,"{""audio_duration_sec"": 0.21961366892820003}",168.0,0.011904761904761904,42.97786025746037
2-3s,final_width_gt_ratio,GT_ABSOLUTE_DURATION_ONLY,159,,"{""gt_duration_sec"": null}",168.0,0.011904761904761904,42.97786025746037
2-3s,final_width_gt_ratio,NORMALIZED_GT_WIDTH_ONLY,159,0.052769665624480044,"{""normalized_gt_width"": -0.22971648966602295}",168.0,0.011904761904761904,42.97786025746037
2-3s,final_width_gt_ratio,INITIAL_WIDTH_GT_ONLY,159,0.048230163580105345,"{""initial_width_gt_ratio_median"": 0.21961366892820003}",168.0,0.011904761904761904,42.97786025746037
2-3s,final_width_gt_ratio,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,159,0.048230163580105345,"{""audio_duration_sec"": 0.10980683446409993, ""initial_width_gt_ratio_median"": 0.10980683446410003}",168.0,0.011904761904761904,42.97786025746037
2-3s,final_width_gt_ratio,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,159,0.0532524152963495,"{""audio_duration_sec"": 0.05543955049706281, ""normalized_gt_width"": -0.1788166459781795}",168.0,0.011904761904761904,42.97786025746037
2-3s,short_failure_iou07,AUDIO_DURATION_ONLY,159,0.011535839158432148,"{""audio_duration_sec"": 0.10740502389754927}",168.0,0.011904761904761904,42.97786025746037
2-3s,short_failure_iou07,GT_ABSOLUTE_DURATION_ONLY,159,,"{""gt_duration_sec"": null}",168.0,0.011904761904761904,42.97786025746037
2-3s,short_failure_iou07,NORMALIZED_GT_WIDTH_ONLY,159,0.02430461216065083,"{""normalized_gt_width"": -0.1558993654914972}",168.0,0.011904761904761904,42.97786025746037
2-3s,short_failure_iou07,INITIAL_WIDTH_GT_ONLY,159,0.011535839158432148,"{""initial_width_gt_ratio_median"": 0.10740502389754931}",168.0,0.011904761904761904,42.97786025746037
2-3s,short_failure_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,159,0.011535839158431926,"{""audio_duration_sec"": 0.0537025119487746, ""initial_width_gt_ratio_median"": 0.05370251194877464}",168.0,0.011904761904761904,42.97786025746037
2-3s,short_failure_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,159,0.032431884922677345,"{""audio_duration_sec"": -0.22747366477338857, ""normalized_gt_width"": -0.36474618831485}",168.0,0.011904761904761904,42.97786025746037
2-3s,r1_iou07,AUDIO_DURATION_ONLY,159,0.011535839158432148,"{""audio_duration_sec"": -0.10740502389754927}",168.0,0.011904761904761904,42.97786025746037
2-3s,r1_iou07,GT_ABSOLUTE_DURATION_ONLY,159,,"{""gt_duration_sec"": null}",168.0,0.011904761904761904,42.97786025746037
2-3s,r1_iou07,NORMALIZED_GT_WIDTH_ONLY,159,0.02430461216065083,"{""normalized_gt_width"": 0.1558993654914972}",168.0,0.011904761904761904,42.97786025746037
2-3s,r1_iou07,INITIAL_WIDTH_GT_ONLY,159,0.011535839158432148,"{""initial_width_gt_ratio_median"": -0.10740502389754929}",168.0,0.011904761904761904,42.97786025746037
2-3s,r1_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,159,0.011535839158432148,"{""audio_duration_sec"": -0.0537025119487746, ""initial_width_gt_ratio_median"": -0.05370251194877464}",168.0,0.011904761904761904,42.97786025746037
2-3s,r1_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,159,0.032431884922677234,"{""audio_duration_sec"": 0.22747366477338843, ""normalized_gt_width"": 0.36474618831484984}",168.0,0.011904761904761904,42.97786025746037
2-3s,oracle10_iou07,AUDIO_DURATION_ONLY,159,0.02925527006838191,"{""audio_duration_sec"": -0.17104172025673126}",168.0,0.011904761904761904,42.97786025746037
2-3s,oracle10_iou07,GT_ABSOLUTE_DURATION_ONLY,159,,"{""gt_duration_sec"": null}",168.0,0.011904761904761904,42.97786025746037
2-3s,oracle10_iou07,NORMALIZED_GT_WIDTH_ONLY,159,0.04320995148384865,"{""normalized_gt_width"": 0.20787003507925012}",168.0,0.011904761904761904,42.97786025746037
2-3s,oracle10_iou07,INITIAL_WIDTH_GT_ONLY,159,0.02925527006838191,"{""initial_width_gt_ratio_median"": -0.17104172025673126}",168.0,0.011904761904761904,42.97786025746037
2-3s,oracle10_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,159,0.0292552700683818,"{""audio_duration_sec"": -0.08552086012836556, ""initial_width_gt_ratio_median"": -0.08552086012836564}",168.0,0.011904761904761904,42.97786025746037
2-3s,oracle10_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,159,0.04570766701564688,"{""audio_duration_sec"": 0.12610438659981316, ""normalized_gt_width"": 0.3236482747787575}",168.0,0.011904761904761904,42.97786025746037
3-5s,final_width_gt_ratio,AUDIO_DURATION_ONLY,217,0.1024656035255892,"{""audio_duration_sec"": 0.3201024890962099}",193.0,0.01680672268907563,30.442651015701095
3-5s,final_width_gt_ratio,GT_ABSOLUTE_DURATION_ONLY,217,0.0007967015416397993,"{""gt_duration_sec"": 0.028225901963263973}",193.0,0.01680672268907563,30.442651015701095
3-5s,final_width_gt_ratio,NORMALIZED_GT_WIDTH_ONLY,217,0.09693078179720382,"{""normalized_gt_width"": -0.3113370870892256}",193.0,0.01680672268907563,30.442651015701095
3-5s,final_width_gt_ratio,INITIAL_WIDTH_GT_ONLY,217,0.09637260277311555,"{""initial_width_gt_ratio_median"": 0.310439370526864}",193.0,0.01680672268907563,30.442651015701095
3-5s,final_width_gt_ratio,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,217,0.10313882413334341,"{""audio_duration_sec"": 0.2467288614577931, ""initial_width_gt_ratio_median"": 0.07782615139254438}",193.0,0.01680672268907563,30.442651015701095
3-5s,final_width_gt_ratio,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,217,0.10607030759751623,"{""audio_duration_sec"": 0.2057108420258149, ""normalized_gt_width"": -0.1291903749952173}",193.0,0.01680672268907563,30.442651015701095
3-5s,short_failure_iou07,AUDIO_DURATION_ONLY,217,0.05197108742169276,"{""audio_duration_sec"": 0.22797168118363503}",193.0,0.01680672268907563,30.442651015701095
3-5s,short_failure_iou07,GT_ABSOLUTE_DURATION_ONLY,217,0.00154571295973982,"{""gt_duration_sec"": -0.03931555620540193}",193.0,0.01680672268907563,30.442651015701095
3-5s,short_failure_iou07,NORMALIZED_GT_WIDTH_ONLY,217,0.06538773758398453,"{""normalized_gt_width"": -0.2557102610064458}",193.0,0.01680672268907563,30.442651015701095
3-5s,short_failure_iou07,INITIAL_WIDTH_GT_ONLY,217,0.05614644807753011,"{""initial_width_gt_ratio_median"": 0.23695241732788921}",193.0,0.01680672268907563,30.442651015701095
3-5s,short_failure_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,217,0.05633480729496654,"{""audio_duration_sec"": 0.041166153819097925, ""initial_width_gt_ratio_median"": 0.19814142658014886}",193.0,0.01680672268907563,30.442651015701095
3-5s,short_failure_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,217,0.06539890410842952,"{""audio_duration_sec"": 0.007190421689618555, ""normalized_gt_width"": -0.24934350047775616}",193.0,0.01680672268907563,30.442651015701095
3-5s,r1_iou07,AUDIO_DURATION_ONLY,217,0.051971087421692985,"{""audio_duration_sec"": -0.22797168118363506}",193.0,0.01680672268907563,30.442651015701095
3-5s,r1_iou07,GT_ABSOLUTE_DURATION_ONLY,217,0.001545712959739931,"{""gt_duration_sec"": 0.039315556205401836}",193.0,0.01680672268907563,30.442651015701095
3-5s,r1_iou07,NORMALIZED_GT_WIDTH_ONLY,217,0.06538773758398464,"{""normalized_gt_width"": 0.2557102610064459}",193.0,0.01680672268907563,30.442651015701095
3-5s,r1_iou07,INITIAL_WIDTH_GT_ONLY,217,0.05614644807753033,"{""initial_width_gt_ratio_median"": -0.23695241732788927}",193.0,0.01680672268907563,30.442651015701095
3-5s,r1_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,217,0.05633480729496665,"{""audio_duration_sec"": -0.04116615381909819, ""initial_width_gt_ratio_median"": -0.19814142658014858}",193.0,0.01680672268907563,30.442651015701095
3-5s,r1_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,217,0.06539890410842952,"{""audio_duration_sec"": -0.0071904216896187005, ""normalized_gt_width"": 0.249343500477756}",193.0,0.01680672268907563,30.442651015701095
3-5s,oracle10_iou07,AUDIO_DURATION_ONLY,217,0.12798248303475945,"{""audio_duration_sec"": -0.35774639485920723}",193.0,0.01680672268907563,30.442651015701095
3-5s,oracle10_iou07,GT_ABSOLUTE_DURATION_ONLY,217,0.001903400476499284,"{""gt_duration_sec"": 0.04362797813903237}",193.0,0.01680672268907563,30.442651015701095
3-5s,oracle10_iou07,NORMALIZED_GT_WIDTH_ONLY,217,0.13362035686874452,"{""normalized_gt_width"": 0.36554118354673076}",193.0,0.01680672268907563,30.442651015701095
3-5s,oracle10_iou07,INITIAL_WIDTH_GT_ONLY,217,0.13199217143587483,"{""initial_width_gt_ratio_median"": -0.36330726862516166}",193.0,0.01680672268907563,30.442651015701095
3-5s,oracle10_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,217,0.13407748527850827,"{""audio_duration_sec"": -0.13697224274319528, ""initial_width_gt_ratio_median"": -0.23417136564125998}",193.0,0.01680672268907563,30.442651015701095
3-5s,oracle10_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,217,0.13899730185031145,"{""audio_duration_sec"": -0.1577840671782092, ""normalized_gt_width"": 0.2258312451968392}",193.0,0.01680672268907563,30.442651015701095
5-10s,final_width_gt_ratio,AUDIO_DURATION_ONLY,273,0.0488614179844481,"{""audio_duration_sec"": 0.2210461897080521}",240.0,0.03,17.05470645137316
5-10s,final_width_gt_ratio,GT_ABSOLUTE_DURATION_ONLY,273,0.012149174400752472,"{""gt_duration_sec"": -0.11022329336738451}",240.0,0.03,17.05470645137316
5-10s,final_width_gt_ratio,NORMALIZED_GT_WIDTH_ONLY,273,0.0464057225756177,"{""normalized_gt_width"": -0.21541987507102922}",240.0,0.03,17.05470645137316
5-10s,final_width_gt_ratio,INITIAL_WIDTH_GT_ONLY,273,0.06529627142965067,"{""initial_width_gt_ratio_median"": 0.2555313511678186}",240.0,0.03,17.05470645137316
5-10s,final_width_gt_ratio,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,273,0.06533835293558199,"{""audio_duration_sec"": -0.013512782669586287, ""initial_width_gt_ratio_median"": 0.26738520242150216}",240.0,0.03,17.05470645137316
5-10s,final_width_gt_ratio,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,273,0.05089702332318358,"{""audio_duration_sec"": 0.13903540294793632, ""normalized_gt_width"": -0.0936022140964022}",240.0,0.03,17.05470645137316
5-10s,short_failure_iou07,AUDIO_DURATION_ONLY,273,0.02064665456725434,"{""audio_duration_sec"": 0.14368943791126101}",240.0,0.03,17.05470645137316
5-10s,short_failure_iou07,GT_ABSOLUTE_DURATION_ONLY,273,0.002049523384113572,"{""gt_duration_sec"": -0.04527166204275611}",240.0,0.03,17.05470645137316
5-10s,short_failure_iou07,NORMALIZED_GT_WIDTH_ONLY,273,0.021733841893417205,"{""normalized_gt_width"": -0.147424020747696}",240.0,0.03,17.05470645137316
5-10s,short_failure_iou07,INITIAL_WIDTH_GT_ONLY,273,0.023914141076675555,"{""initial_width_gt_ratio_median"": 0.15464197708473373}",240.0,0.03,17.05470645137316
5-10s,short_failure_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,273,0.024194102107520044,"{""audio_duration_sec"": 0.03485362445117364, ""initial_width_gt_ratio_median"": 0.12406724721611484}",240.0,0.03,17.05470645137316
5-10s,short_failure_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,273,0.022641516965143382,"{""audio_duration_sec"": 0.06250352851570203, ""normalized_gt_width"": -0.0926607483364605}",240.0,0.03,17.05470645137316
5-10s,r1_iou07,AUDIO_DURATION_ONLY,273,0.02064665456725434,"{""audio_duration_sec"": -0.14368943791126135}",240.0,0.03,17.05470645137316
5-10s,r1_iou07,GT_ABSOLUTE_DURATION_ONLY,273,0.002049523384113572,"{""gt_duration_sec"": 0.04527166204275648}",240.0,0.03,17.05470645137316
5-10s,r1_iou07,NORMALIZED_GT_WIDTH_ONLY,273,0.021733841893417427,"{""normalized_gt_width"": 0.14742402074769628}",240.0,0.03,17.05470645137316
5-10s,r1_iou07,INITIAL_WIDTH_GT_ONLY,273,0.023914141076675555,"{""initial_width_gt_ratio_median"": -0.15464197708473412}",240.0,0.03,17.05470645137316
5-10s,r1_iou07,AUDIO_DURATION_PLUS_INITIAL_WIDTH_GT,273,0.024194102107520044,"{""audio_duration_sec"": -0.03485362445117316, ""initial_width_gt_ratio_median"": -0.12406724721611573}",240.0,0.03,17.05470645137316
5-10s,r1_iou07,AUDIO_DURATION_PLUS_NORMALIZED_GT_WIDTH,273,0.022641516965143382,"{""audio_duration_sec"": -0.06250352851570228, ""normalized_gt_width"": 0.09266074833646062}",240.0,0.03,17.05470645137316
5-10s,oracle10_iou07,AUDIO_DURATION_ONLY,273,0.040458278335224085,"{""audio_duration_sec"": -0.20114243295541603}",240.0,0.03,17.05470645137316
