gt_duration_bin_broad,audio_duration_group,N,median_audio_duration_sec,median_gt_token_fraction,median_best_gt_saliency,median_gt_saliency_percentile,median_gt_vs_false_margin,median_gt_vs_nearby_margin,median_false_peaks_above_gt,median_high_saliency_distractor_peak_count,median_gt_saliency_rank
0-2s,all,90,213.0,0.006688963210702341,-11.54863977432251,0.9043333333333333,-0.46473121643066406,0.010082721710205078,18.5,13.0,19.5
0-2s,shorter_or_equal_audio,46,125.5,0.009240290226205719,-11.492728233337402,0.939222290263319,-0.4117612838745117,-0.001308441162109375,6.5,8.0,7.5
0-2s,longer_audio,44,299.0,0.004331926863572433,-11.54863977432251,0.8798049052396879,-0.593660831451416,0.010082721710205078,35.0,16.5,36.0
2-5s,all,376,188.5,0.02654867256637168,-11.256514072418213,0.9772222222222222,-0.18175792694091797,0.05473804473876953,4.0,10.0,5.0
2-5s,shorter_or_equal_audio,188,109.0,0.037880961946851865,-11.24498987197876,0.9640527097732705,-0.1339569091796875,0.0455327033996582,3.5,6.0,4.5
2-5s,longer_audio,188,299.0,0.015804149239444825,-11.263298511505127,0.9827892384644982,-0.22210264205932617,0.07935810089111328,4.0,16.0,5.0
